location,timestamp,parameter,units,value
NewDelhi-8118,2024-12-31T14:30:00.000-05:00,temperature,µg/m³,185.0
NewDelhi-8118,2025-01-01T04:30:00.000-05:00,humidity,µg/m³,196.0
NewDelhi-8118,2025-01-01T12:30:00.000-05:00,pm25,µg/m³,205.0
NewDelhi-8118,2025-01-01T19:30:00.000-05:00,pm25,µg/m³,174.0
NewDelhi-8118,2025-01-02T03:30:00.000-05:00,pm25,µg/m³,190.0
NewDelhi-8118,2025-01-02T11:30:00.000-05:00,pm25,µg/m³,291.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T18:30:00.000-05:00,pm25,µg/m³,220.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T02:30:00.000-05:00,pm25,µg/m³,431.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T10:30:00.000-05:00,pm25,µg/m³,261.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T17:30:00.000-05:00,pm25,µg/m³,195.0
NewDelhi-8118,2024-12-31T19:30:00.000-05:00,pm25,µg/m³,189.0
NewDelhi-8118,2024-12-31T14:30:00.000-05:00,humidity,µg/m³,202.0
NewDelhi-8118,2025-01-01T11:30:00.000-05:00,pm25,µg/m³,213.0
NewDelhi-8118,2025-01-01T18:30:00.000-05:00,pm25,µg/m³,176.0
NewDelhi-8118,2025-01-02T02:30:00.000-05:00,pm25,µg/m³,179.0
NewDelhi-8118,2025-01-02T10:30:00.000-05:00,pm25,µg/m³,308.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T17:30:00.000-05:00,pm25,µg/m³,200.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T01:30:00.000-05:00,pm25,µg/m³,349.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T09:30:00.000-05:00,pm25,µg/m³,265.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T16:30:00.000-05:00,pm25,µg/m³,149.0
NewDelhi-8118,2024-12-31T17:30:00.000-05:00,pm25,µg/m³,204.0
NewDelhi-8118,2025-01-01T01:30:00.000-05:00,pm25,µg/m³,188.0
NewDelhi-8118,2025-01-01T09:30:00.000-05:00,pm25,µg/m³,196.0
NewDelhi-8118,2025-01-01T16:30:00.000-05:00,pm25,µg/m³,173.0
NewDelhi-8118,2025-01-02T00:30:00.000-05:00,pm25,µg/m³,204.0
NewDelhi-8118,2025-01-02T08:30:00.000-05:00,pm25,µg/m³,217.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T15:30:00.000-05:00,pm25,µg/m³,213.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T23:30:00.000-05:00,pm25,µg/m³,210.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T07:30:00.000-05:00,pm25,µg/m³,213.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T14:30:00.000-05:00,pm25,µg/m³,250.0
NewDelhi-8118,2024-12-31T18:30:00.000-05:00,pm25,µg/m³,187.0
NewDelhi-8118,2025-01-01T02:30:00.000-05:00,pm25,µg/m³,176.0
NewDelhi-8118,2025-01-01T10:30:00.000-05:00,pm25,µg/m³,211.0
NewDelhi-8118,2025-01-01T17:30:00.000-05:00,pm25,µg/m³,173.0
NewDelhi-8118,2025-01-02T01:30:00.000-05:00,pm25,µg/m³,209.0
NewDelhi-8118,2025-01-02T09:30:00.000-05:00,pm25,µg/m³,262.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T16:30:00.000-05:00,pm25,µg/m³,211.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T00:30:00.000-05:00,pm25,µg/m³,258.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T08:30:00.000-05:00,pm25,µg/m³,237.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T15:30:00.000-05:00,pm25,µg/m³,192.0
NewDelhi-8118,2024-12-31T21:30:00.000-05:00,temperature,µg/m³,165.0
NewDelhi-8118,2025-01-01T05:30:00.000-05:00,humidity,µg/m³,202.0
NewDelhi-8118,2025-01-01T13:30:00.000-05:00,pm25,µg/m³,200.0
NewDelhi-8118,2025-01-01T20:30:00.000-05:00,pm25,µg/m³,153.0
NewDelhi-8118,2025-01-02T04:30:00.000-05:00,pm25,µg/m³,213.0
NewDelhi-8118,2025-01-02T12:30:00.000-05:00,pm25,µg/m³,210.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T03:30:00.000-05:00,pm25,µg/m³,382.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T11:30:00.000-05:00,pm25,µg/m³,345.0
NewDelhi-8118,2024-12-31T14:30:00.000-05:00,pm25,µg/m³,371.0
NewDelhi-8118,2024-12-31T22:30:00.000-05:00,temperature,µg/m³,154.0
NewDelhi-8118,2025-01-01T06:30:00.000-05:00,humidity,µg/m³,204.0
NewDelhi-8118,2025-01-01T21:30:00.000-05:00,pm25,µg/m³,140.0
NewDelhi-8118,2025-01-02T05:30:00.000-05:00,pm25,µg/m³,217.0
NewDelhi-8118,2025-01-02T13:30:00.000-05:00,pm25,µg/m³,208.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T04:30:00.000-05:00,pm25,µg/m³,330.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T12:30:00.000-05:00,pm25,µg/m³,352.0
NewDelhi-8118,2024-12-31T15:30:00.000-05:00,pm25,µg/m³,343.0
NewDelhi-8118,2024-12-31T23:30:00.000-05:00,temperature,µg/m³,170.0
NewDelhi-8118,2025-01-01T07:30:00.000-05:00,humidity,µg/m³,203.0
NewDelhi-8118,2025-01-01T14:30:00.000-05:00,pm25,µg/m³,163.0
NewDelhi-8118,2025-01-01T22:30:00.000-05:00,pm25,µg/m³,167.0
NewDelhi-8118,2025-01-02T06:30:00.000-05:00,pm25,µg/m³,191.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T21:30:00.000-05:00,pm25,µg/m³,203.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T05:30:00.000-05:00,pm25,µg/m³,278.0
USDiplomaticPost:NewDelhi-8118,2025-01-03T13:30:00.000-05:00,pm25,µg/m³,333.0
NewDelhi-8118,2024-12-31T16:30:00.000-05:00,pm25,µg/m³,286.0
NewDelhi-8118,2025-01-01T00:30:00.000-05:00,temperature,µg/m³,193.0
NewDelhi-8118,2025-01-01T08:30:00.000-05:00,pm25,µg/m³,206.0
NewDelhi-8118,2025-01-01T15:30:00.000-05:00,pm25,µg/m³,158.0
NewDelhi-8118,2025-01-01T23:30:00.000-05:00,pm25,µg/m³,204.0
NewDelhi-8118,2025-01-02T07:30:00.000-05:00,pm25,µg/m³,198.0
USDiplomaticPost:NewDelhi-8118,2025-01-02T14:30:00.000-05:00,pm25,µg/m³,210.0
