features,pm25,AQI_Category
"[8.0,30.3,82.1,46.0,0.15000000000000213,44.666666666666664,7.0]",54.0,Moderate
"[13.0,16.0,36.6,76.5,-3.4499999999999993,73.16666666666667,6.0]",89.5,Moderate
"[31.0,11.7,74.9,2.5,-10.45,34.333333333333336,9.0]",33.5,Good
"[31.0,22.1,52.1,2.5,0.6499999999999986,33.5,11.0]",33.5,Good
"[31.0,28.4,42.0,6.5,6.5,34.5,13.0]",37.5,Good
"[33.5,13.5,81.5,2.5,1.8000000000000007,33.5,9.0]",36.0,Good
"[34.0,12.9,39.6,1.5,-3.549999999999999,37.666666666666664,10.0]",35.5,Good
"[34.0,22.8,33.2,2.5,3.75,35.166666666666664,11.0]",36.5,Good
"[34.0,34.2,61.4,10.0,3.75,37.833333333333336,13.0]",44.0,Good
"[34.5,22.45,66.05,7.5,-8.75,34.5,9.0]",42.0,Good
"[35.0,21.9,62.45,-4.0,6.499999999999998,35.0,12.0]",31.0,Good
"[35.5,9.45,43.85,1.5,-3.450000000000001,35.5,10.0]",37.0,Good
"[35.5,30.450000000000003,70.7,-1.5,3.7500000000000036,35.5,12.0]",34.0,Good
"[36.0,15.3,88.1,-1.0,1.8000000000000007,34.833333333333336,10.0]",35.0,Good
"[36.0,21.450000000000003,52.45,-5.0,0.6500000000000021,36.0,10.0]",31.0,Good
"[36.0,26.9,62.1,7.0,2.3999999999999986,37.5,12.0]",43.0,Good
"[36.0,27.2,87.9,-4.5,-3.0000000000000036,36.333333333333336,8.0]",31.5,Good
"[36.5,28.200000000000003,51.25,2.5,5.400000000000002,36.5,11.0]",39.0,Good
"[37.0,26.7,80.0,-1.5,9.7,37.5,12.0]",35.5,Good
"[37.5,16.55,50.95,0.5,10.55,37.5,11.0]",38.0,Good
"[37.5,19.5,36.4,6.5,-8.899999999999999,37.5,13.0]",44.0,Good
"[38.0,16.1,43.7,22.5,-5.5,45.5,13.0]",60.5,Moderate
